id,origin,cs,power,destination,path
0,10,20,50,20,"[29, 50, 56]"
1,16,15,50,15,"[49, 53, 57]"
2,9,15,50,4,"[25, 28, 44, 40, 31]"
3,16,20,50,20,"[50, 56]"
4,11,11,50,12,[33]
5,20,20,50,7,"[60, 54]"
6,16,11,50,19,"[48, 27, 34, 41, 45]"
7,9,5,50,5,[23]
8,23,15,50,22,"[72, 67, 46]"
9,16,13,50,10,"[48, 27, 33, 37, 38, 36, 32]"
10,16,20,50,20,"[50, 56]"
11,11,11,50,15,"[34, 41]"
12,17,13,50,9,"[53, 57, 46, 69, 66, 74, 38, 36, 32, 26]"
13,22,13,50,10,"[69, 66, 74, 38, 36, 32]"
14,10,11,50,12,"[27, 33]"
15,8,5,50,5,"[19, 15]"
16,7,1,50,10,"[17, 19, 14, 3, 2, 6, 9, 13, 25]"
17,16,20,50,20,"[50, 56]"
18,14,11,50,8,"[40, 31, 9, 12, 16]"
19,16,15,50,15,"[49, 53, 57]"
20,16,15,50,24,"[49, 53, 57, 46, 69, 66]"
21,9,1,50,12,"[23, 11, 8, 5, 2, 7]"
22,6,15,50,2,"[16, 22, 49, 53, 57, 45, 58, 52, 47, 19, 14]"
23,3,15,50,12,"[7, 37, 39, 75, 65, 67, 46, 69, 66, 74, 38]"
24,18,15,50,15,"[55, 49, 53, 57]"
25,17,15,50,7,"[53, 57, 45, 58, 52, 50, 54]"
26,23,5,50,24,"[71, 40, 31, 9, 11, 8, 7, 37, 39]"
27,12,13,50,23,"[37, 39, 76]"
28,10,20,50,16,"[29, 50, 56, 60, 55]"
29,10,15,50,15,[28]
30,18,15,50,17,"[55, 49, 53, 57, 45, 58]"
31,14,11,50,16,"[40, 32, 29]"
32,22,15,50,24,"[67, 46, 69, 66]"
33,4,5,50,5,[9]
34,8,5,50,7,"[19, 15, 12, 16, 20]"
35,13,13,120,4,"[38, 35, 6]"
36,7,1,50,4,"[17, 19, 14, 3, 2, 6]"
37,20,20,50,23,"[63, 70]"
38,10,1,50,14,"[26, 23, 11, 8, 5, 2, 7, 36, 34]"
39,17,15,50,8,"[53, 57, 45, 58, 52, 47]"
40,21,20,50,24,"[64, 62, 66]"
41,19,13,50,8,"[57, 46, 69, 66, 74, 38, 35, 6, 9, 12, 16]"
42,1,1,120,9,"[2, 6, 9, 13]"
43,9,5,50,16,"[23, 12, 16, 22]"
44,19,13,50,14,"[57, 46, 69, 66, 74, 39, 76, 71]"
45,23,1,50,21,"[73, 74, 38, 35, 5, 2, 7, 37, 39, 75]"
46,10,11,50,7,"[27, 32, 29, 50, 54]"
47,7,20,50,20,"[18, 56]"
48,11,11,120,14,[34]
49,5,5,120,1,"[11, 8, 5]"
50,10,5,50,9,"[26, 23, 13]"
51,16,5,50,4,"[47, 19, 15, 11]"
52,16,13,50,14,"[48, 27, 33, 37, 39, 76, 71]"
53,8,20,50,10,"[20, 18, 56, 60, 55, 48]"
54,7,13,50,14,"[18, 56, 62, 66, 74, 39, 76, 71]"
55,8,1,50,16,"[19, 14, 3, 1, 4, 16, 22]"
56,16,11,50,11,"[48, 27]"
57,22,13,50,4,"[69, 66, 74, 38, 35, 6]"
58,16,11,50,17,"[48, 27, 32, 29, 49]"
59,6,1,50,1,"[14, 3]"
60,21,13,50,8,"[66, 74, 38, 35, 6, 9, 12, 16]"
61,21,20,50,20,[64]
62,15,15,50,16,"[45, 58, 52]"
63,22,5,50,16,"[67, 43, 26, 23, 12, 16, 22]"
64,24,20,50,20,"[75, 64]"
65,16,15,50,22,"[49, 53, 57, 46]"
66,16,15,50,15,"[49, 53, 57]"
67,9,11,50,11,"[25, 27]"
68,17,5,50,23,"[52, 47, 19, 15, 11, 10, 34, 42]"
69,23,13,50,24,"[73, 74, 39]"
70,20,20,120,22,[63]
71,23,13,50,10,"[73, 74, 38, 36, 32]"
72,24,1,50,22,"[74, 38, 35, 5, 2, 7, 37, 39, 75, 65]"
73,11,11,120,22,"[34, 41, 46]"
74,12,11,50,11,[36]
75,14,5,50,21,"[40, 31, 9, 13, 25, 28, 46, 69]"
76,15,15,50,4,"[44, 40, 31]"
77,9,5,50,16,"[23, 12, 16, 22]"
78,10,20,50,20,"[29, 50, 56]"
79,22,20,50,20,[68]
80,23,1,50,22,"[73, 74, 38, 35, 5, 2, 7, 37, 39, 75, 65]"
81,23,20,50,20,"[72, 68]"
82,21,13,50,22,"[66, 74, 39, 75, 65]"
83,8,20,50,20,"[20, 18, 56]"
84,22,13,50,8,"[69, 66, 74, 38, 35, 6, 9, 12, 16]"
85,6,5,50,4,"[15, 11]"
86,19,20,50,16,"[59, 60, 55]"
87,10,15,50,8,"[28, 45, 58, 52, 47]"
88,12,15,50,7,"[37, 39, 75, 65, 67, 45, 58, 52, 50, 54]"
89,8,20,50,17,"[20, 18, 56, 61, 58]"
90,23,11,50,11,"[71, 40]"
91,11,11,120,22,"[34, 41, 46]"
92,5,5,50,11,"[11, 10]"
93,10,13,50,16,"[27, 33, 37, 38, 36, 32, 29]"
94,21,13,50,13,"[66, 74]"
95,5,5,120,9,[13]
96,22,1,50,23,"[69, 66, 74, 38, 35, 5, 2, 7, 37, 39, 76]"
97,9,1,50,22,"[23, 11, 8, 5, 2, 7, 37, 39, 75, 65]"
98,16,20,50,8,"[50, 56, 60, 54, 17]"
99,12,13,50,23,"[37, 39, 76]"
100,15,15,120,22,[46]
101,18,11,50,17,"[55, 48, 27, 32, 29, 49]"
102,22,20,50,20,[68]
103,4,5,50,9,"[9, 13]"
104,12,11,50,10,"[36, 32]"
105,10,11,50,14,"[27, 34]"
106,6,15,50,19,"[16, 22, 49, 53, 57, 45]"
107,10,20,50,20,"[29, 50, 56]"
108,20,20,120,10,"[60, 55, 48]"
109,20,20,120,1,"[60, 54, 17, 19, 14, 3]"
110,15,15,120,10,[43]
111,16,20,50,12,"[50, 56, 62, 66, 74, 38]"
112,17,11,50,12,"[52, 48, 27, 33]"
113,24,11,50,11,"[76, 71, 40]"
114,22,15,50,15,[67]
115,8,15,50,16,"[22, 49, 53, 57, 45, 58, 52]"
116,10,1,50,14,"[26, 23, 11, 8, 5, 2, 7, 36, 34]"
117,22,11,50,19,"[70, 71, 40, 34, 41, 45]"
118,22,5,50,21,"[67, 43, 26, 23, 13, 25, 28, 46, 69]"
119,24,13,50,22,"[74, 39, 75, 65]"
120,14,1,50,1,"[40, 31, 8, 5]"
121,4,11,50,11,[10]
122,9,15,50,15,"[25, 28]"
123,24,20,50,21,"[75, 64, 62]"
124,14,13,50,13,"[42, 73, 74]"
125,7,15,50,9,"[18, 55, 49, 53, 57, 43, 26]"
126,20,20,120,17,"[61, 58]"
127,13,13,50,10,"[38, 36, 32]"
128,4,11,50,11,[10]
129,14,20,50,24,"[41, 45, 59, 62, 66]"
130,23,20,50,16,"[72, 68, 60, 55]"
131,16,15,50,15,"[49, 53, 57]"
132,17,20,50,9,"[53, 59, 60, 55, 48, 26]"
133,22,15,50,15,[67]
134,2,13,50,13,"[3, 2, 7, 37]"
135,14,11,50,11,[40]
136,22,15,50,23,"[67, 46, 70]"
137,11,11,120,21,"[34, 42, 73, 75]"
138,19,11,50,11,"[57, 44, 40]"
139,17,5,50,16,"[52, 47, 19, 15, 12, 16, 22]"
140,15,15,120,12,"[46, 69, 66, 74, 38]"
141,11,11,120,10,[32]
142,2,11,50,8,"[4, 15, 11, 10, 31, 9, 12, 16]"
143,20,20,120,11,"[61, 57, 44, 40]"
144,21,15,50,15,"[65, 67]"
145,1,1,120,10,"[2, 6, 9, 13, 25]"
146,5,5,50,15,"[13, 25, 28]"
147,17,5,50,16,"[52, 47, 19, 15, 12, 16, 22]"
148,9,20,50,22,"[25, 29, 50, 56, 63]"
149,14,20,50,21,"[41, 45, 59, 62]"
150,21,15,50,22,"[65, 67, 46]"
151,7,11,50,6,"[18, 55, 48, 27, 31, 9, 12]"
